Country,Time,Loan Interest Rate (%),Deposit Interest Rate (%)
JP,1985-06,,6.35
JP,1985-07,,6.376
JP,1985-08,,6.385
JP,1985-09,,6.424
JP,1985-10,,6.4825
JP,1985-11,,7.6825
JP,1985-12,,7.866
JP,1986-01,,6.96
JP,1986-02,,6.22
JP,1986-03,,5.832
JP,1986-04,,4.9575
JP,1986-05,,4.7875
JP,1986-06,,4.786
JP,1986-07,,4.715
JP,1986-08,,4.895
JP,1986-09,,4.934
JP,1986-10,,4.9225
JP,1986-11,,4.7175
JP,1986-12,,4.592
JP,1987-01,,4.41
JP,1987-02,,4.2225
JP,1987-03,,4.316
JP,1987-04,,4.13
JP,1987-05,,3.975
JP,1987-06,,3.91
JP,1987-07,,4.026666667
JP,1987-08,,4.102
JP,1987-09,,4.2025
JP,1987-10,,4.6675
JP,1987-11,,4.464
JP,1987-12,,4.5125
JP,1988-01,,4.345
JP,1988-02,,4.376
JP,1988-03,,4.4525
JP,1988-04,,4.21
JP,1988-05,,4.242
JP,1988-06,,4.3725
JP,1988-07,,4.62
JP,1988-08,,4.868
JP,1988-09,,5.015
JP,1988-10,,4.704
JP,1988-11,,4.465
JP,1988-12,,4.51
JP,1989-01,,4.538
JP,1989-02,,4.65
JP,1989-03,,4.7425
JP,1989-04,,4.6675
JP,1989-05,,4.94
JP,1989-06,,5.305
JP,1989-07,,5.438
JP,1989-08,,5.4425
JP,1989-09,,5.61
JP,1989-10,,6.082
JP,1989-11,,6.7025
JP,1989-12,,6.7475
JP,1990-01,,6.952
JP,1990-02,,7.11
JP,1990-03,,7.4725
JP,1990-04,,7.474
JP,1990-05,,7.38
JP,1990-06,,7.3725
JP,1990-07,,7.608
JP,1990-08,,7.9375
JP,1990-09,,8.3475
JP,1990-10,,8.174
JP,1990-11,,8.34
JP,1990-12,,8.304
JP,1991-01,,8.16
JP,1991-02,,8.105
JP,1991-03,,8.2275
JP,1991-04,,8.06
JP,1991-05,,7.92
JP,1991-06,,7.81
JP,1991-07,,7.582
JP,1991-08,,7.43
JP,1991-09,,6.942
JP,1991-10,,6.5175
JP,1991-11,,6.2825
JP,1991-12,,6.174
JP,1992-01,,5.4275
JP,1992-02,,5.3275
JP,1992-03,,5.074
JP,1992-04,,4.75
JP,1992-05,,4.7275
JP,1992-06,,4.668
JP,1992-07,,4.44
JP,1992-08,,4.068
JP,1992-09,,4.05
JP,1992-10,,3.985
JP,1992-11,,3.848
JP,1992-12,,3.82
JP,1993-01,,3.7675
JP,1993-02,,3.345
JP,1993-03,,3.29
JP,1993-04,,3.2175
JP,1993-05,,3.228
JP,1993-06,,3.23
JP,1993-07,,3.215
JP,1993-08,,3.152
JP,1993-09,,2.665
JP,1993-10,4.043,2.485
JP,1993-11,3.861,2.402
JP,1993-12,3.661,2.165
JP,1994-01,3.653,2.17
JP,1994-02,3.582,2.24
JP,1994-03,3.475,2.3025
JP,1994-04,3.611,2.255
JP,1994-05,3.552,2.188
JP,1994-06,3.469,2.105
JP,1994-07,3.56,2.0925
JP,1994-08,3.545,2.284
JP,1994-09,3.466,2.345
JP,1994-10,3.554,2.312
JP,1994-11,3.493,2.365
JP,1994-12,3.478,2.3425
JP,1995-01,3.472,2.294
JP,1995-02,3.435,2.2875
JP,1995-03,3.296,2.15
JP,1995-04,3.107,1.5325
JP,1995-05,2.859,1.334
JP,1995-06,2.701,1.19
JP,1995-07,2.54,0.956
JP,1995-08,2.52,0.86
JP,1995-09,2.211,0.6375
JP,1995-10,2.185,0.52
JP,1995-11,2.087,0.5675
JP,1995-12,2.017,0.5225
JP,1996-01,2.068,0.526
JP,1996-02,2.084,0.6275
JP,1996-03,2.033,0.6425
JP,1996-04,2.106,0.594
JP,1996-05,2.146,0.6025
JP,1996-06,2.028,0.545
JP,1996-07,2.108,0.612
JP,1996-08,2.046,0.6225
JP,1996-09,1.967,0.53
JP,1996-10,2.01,0.5075
JP,1996-11,1.972,0.5075
JP,1996-12,1.848,0.514
JP,1997-01,1.957,0.52
JP,1997-02,1.922,0.5475
JP,1997-03,1.869,0.56
JP,1997-04,1.958,0.545
JP,1997-05,1.977,0.5625
JP,1997-06,1.913,0.598
JP,1997-07,1.959,0.61
JP,1997-08,1.883,0.6
JP,1997-09,1.845,0.568
JP,1997-10,1.908,0.5275
JP,1997-11,1.825,0.5325
JP,1997-12,1.947,0.89
JP,1998-01,1.914,0.8525
JP,1998-02,1.92,1.1525
JP,1998-03,1.878,0.852
JP,1998-04,1.906,0.67
JP,1998-05,1.873,0.5675
JP,1998-06,1.869,0.574
JP,1998-07,1.902,0.6675
JP,1998-08,1.873,0.742
JP,1998-09,1.839,0.5275
JP,1998-10,1.855,0.5275
JP,1998-11,1.87,0.652
JP,1998-12,1.889,0.6375
JP,1999-01,1.877,0.5925
JP,1999-02,1.81,0.545
JP,1999-03,1.747,0.196
JP,1999-04,1.745,0.115
JP,1999-05,1.718,0.074
JP,1999-06,1.723,0.06
JP,1999-07,1.819,0.0625
JP,1999-08,1.795,0.056
JP,1999-09,1.77,0.06
JP,1999-10,1.811,0.1525
JP,1999-11,1.792,0.402
JP,1999-12,1.822,0.31
JP,2000-01,1.764,0.088
JP,2000-02,1.739,0.095
JP,2000-03,1.673,0.1125
JP,2000-04,1.748,0.075
JP,2000-05,1.738,0.064
JP,2000-06,1.739,0.08
JP,2000-07,1.757,0.152
JP,2000-08,1.788,0.2725
JP,2000-09,1.75,0.36
JP,2000-10,1.93,0.376
JP,2000-11,1.871,0.57
JP,2000-12,1.906,0.625
JP,2001-01,1.886,0.46
JP,2001-02,1.835,0.3925
JP,2001-03,1.595,0.1675
JP,2001-04,1.7,0.052
JP,2001-05,1.602,0.03
JP,2001-06,1.588,0.0275
JP,2001-07,1.71,0.04
JP,2001-08,1.648,0.05
JP,2001-09,1.478,0.03
JP,2001-10,1.715,0.034
JP,2001-11,1.628,0.045
JP,2001-12,1.619,0.05
JP,2002-01,1.622,0.055
JP,2002-02,1.561,0.0925
JP,2002-03,1.555,0.17425
JP,2002-04,1.63,0.0302
JP,2002-05,1.598,0.02875
JP,2002-06,1.606,0.0435
JP,2002-07,1.734,0.0344
JP,2002-08,1.416,0.03075
JP,2002-09,1.65,0.0336
JP,2002-10,1.609,0.0255
JP,2002-11,1.537,0.0465
JP,2002-12,1.615,0.0394
JP,2003-01,1.692,0.039
JP,2003-02,1.565,0.049
JP,2003-03,1.61,0.05
JP,2003-04,1.69,0.028
JP,2003-05,1.526,0.02925
JP,2003-06,1.611,0.0284
JP,2003-07,1.704,0.02725
JP,2003-08,1.381,0.03525
JP,2003-09,1.629,0.035
JP,2003-10,1.688,0.02625
JP,2003-11,1.468,0.03225
JP,2003-12,1.661,0.0314
JP,2004-01,1.648,0.03025
JP,2004-02,1.443,0.02725
JP,2004-03,1.546,0.0382
JP,2004-04,1.588,0.0315
JP,2004-05,1.453,0.0242
JP,2004-06,1.606,0.02875
JP,2004-07,1.621,0.02825
JP,2004-08,1.442,0.029
JP,2004-09,1.538,0.036
JP,2004-10,1.592,0.02725
JP,2004-11,1.482,0.0332
JP,2004-12,1.553,0.02925
JP,2005-01,1.551,0.0264
JP,2005-02,1.324,0.0215
JP,2005-03,1.415,0.0305
JP,2005-04,1.407,0.02825
JP,2005-05,1.427,0.0264
JP,2005-06,1.395,0.024
JP,2005-07,1.404,0.02575
JP,2005-08,1.311,0.0294
JP,2005-09,1.341,0.03075
JP,2005-10,1.391,0.0232
JP,2005-11,1.296,0.024
JP,2005-12,1.395,0.0295
JP,2006-01,1.428,0.0346
JP,2006-02,1.374,0.0485
JP,2006-03,1.292,0.06675
JP,2006-04,1.363,0.04975
JP,2006-05,1.367,0.084
JP,2006-06,1.448,0.20275
JP,2006-07,1.545,0.34
JP,2006-08,1.449,0.38475
JP,2006-09,1.499,0.376
JP,2006-10,1.638,0.374
JP,2006-11,1.563,0.386
JP,2006-12,1.602,0.42375
JP,2007-01,1.625,0.465
JP,2007-02,1.622,0.518
JP,2007-03,1.594,0.6005
JP,2007-04,1.734,0.5698
JP,2007-05,1.654,0.5705
JP,2007-06,1.682,0.559
JP,2007-07,1.826,0.595
JP,2007-08,1.693,0.699
JP,2007-09,1.699,0.7475
JP,2007-10,1.799,0.7032
JP,2007-11,1.613,0.73475
JP,2007-12,1.677,0.7116
JP,2008-01,1.554,0.66925
JP,2008-02,1.583,0.72175
JP,2008-03,1.65,0.7284
JP,2008-04,1.629,0.6445
JP,2008-05,1.554,0.67525
JP,2008-06,1.675,0.677
JP,2008-07,1.587,0.637
JP,2008-08,1.551,0.7105
JP,2008-09,1.684,0.738
JP,2008-10,1.618,0.74275
JP,2008-11,1.454,0.74325
JP,2008-12,1.545,0.7122
JP,2009-01,1.373,0.42025
JP,2009-02,1.377,0.57675
JP,2009-03,1.47,0.4778
JP,2009-04,1.309,0.33575
JP,2009-05,1.266,0.29925
JP,2009-06,1.431,0.2856
JP,2009-07,1.363,0.2425
JP,2009-08,1.367,0.2158
JP,2009-09,1.39,0.20275
JP,2009-10,1.23,0.20275
JP,2009-11,1.262,0.2058
JP,2009-12,1.338,0.19025
JP,2010-01,1.19,0.1735
JP,2010-02,1.284,0.162
JP,2010-03,1.356,0.1596
JP,2010-04,1.121,0.14525
JP,2010-05,1.127,0.1312
JP,2010-06,1.229,0.12825
JP,2010-07,1.169,0.1215
JP,2010-08,1.209,0.1184
JP,2010-09,1.228,0.11875
JP,2010-10,1.095,0.10675
JP,2010-11,1.192,0.1032
JP,2010-12,1.161,0.1105
JP,2011-01,1.095,0.1098
JP,2011-02,1.081,0.12475
JP,2011-03,1.126,0.131
JP,2011-04,1.196,0.10775
JP,2011-05,1.081,0.1062
JP,2011-06,1.195,0.108
JP,2011-07,1.07,0.1135
JP,2011-08,1.11,0.1078
JP,2011-09,1.063,0.10725
JP,2011-10,1.325,0.11
JP,2011-11,1.08,0.10475
JP,2011-12,1.108,0.10725
JP,2012-01,1.137,0.1112
JP,2012-02,0.966,0.11725
JP,2012-03,1.07,0.112
JP,2012-04,1.207,0.116
JP,2012-05,1.011,0.1155
JP,2012-06,1.099,0.11525
JP,2012-07,1.186,0.1148
JP,2012-08,1.04,0.111
JP,2012-09,1.047,0.116
JP,2012-10,1.146,0.1112
JP,2012-11,1.0,0.10525
JP,2012-12,1.119,0.104
JP,2013-01,1.111,0.107
JP,2013-02,0.909,0.106
JP,2013-03,0.962,0.0875
JP,2013-04,1.158,0.0956
JP,2013-05,0.956,0.09925
JP,2013-06,0.95,0.097
JP,2013-07,1.089,0.0858
JP,2013-08,0.911,0.103
JP,2013-09,1.021,0.0954
JP,2013-10,1.11,0.09575
JP,2013-11,0.927,0.09925
JP,2013-12,0.973,0.0886
JP,2014-01,1.031,0.0895
JP,2014-02,0.872,0.096
JP,2014-03,0.905,0.0906
JP,2014-04,1.062,0.0915
JP,2014-05,0.82,0.09525
JP,2014-06,0.99,0.0948
JP,2014-07,0.997,0.091
JP,2014-08,0.808,0.09625
JP,2014-09,0.951,0.0922
JP,2014-10,0.887,0.08075
JP,2014-11,0.932,0.0885
JP,2014-12,0.936,0.089
JP,2015-01,0.917,0.0785
JP,2015-02,0.805,0.08125
JP,2015-03,0.862,0.0836
JP,2015-04,0.863,0.085
JP,2015-05,0.801,0.08825
JP,2015-06,0.929,0.075
JP,2015-07,0.915,0.08275
JP,2015-08,0.804,0.0818
JP,2015-09,0.869,0.0875
JP,2015-10,0.817,0.09
JP,2015-11,0.924,0.088
JP,2015-12,0.927,0.09
JP,2016-01,0.806,0.0865
JP,2016-02,0.793,0.0264
JP,2016-03,0.69,0.00875
JP,2016-04,0.747,0.00825
JP,2016-05,0.678,0.0098
JP,2016-06,0.751,0.0085
JP,2016-07,0.736,0.00325
JP,2016-08,0.703,0.0048
JP,2016-09,0.761,0.0065
JP,2016-10,0.779,0.0052
JP,2016-11,0.731,0.00925
JP,2016-12,0.7,0.00575
JP,2017-01,0.752,0.008
JP,2017-02,0.662,0.00925
JP,2017-03,0.716,0.007
JP,2017-04,0.719,0.0055
JP,2017-05,0.642,0.0058
JP,2017-06,0.705,0.0045
JP,2017-07,0.728,0.0066
JP,2017-08,0.663,0.005
JP,2017-09,0.716,0.00625
JP,2017-10,0.756,0.004
JP,2017-11,0.751,0.00725
JP,2017-12,0.725,0.00625
JP,2018-01,0.692,0.0058
JP,2018-02,0.6,0.0085
JP,2018-03,0.635,0.00625
JP,2018-04,0.673,0.008
JP,2018-05,0.61,0.004
JP,2018-06,0.767,0.0055
JP,2018-07,0.732,0.0066
JP,2018-08,0.741,0.008
JP,2018-09,0.685,0.007
JP,2018-10,0.745,0.0082
JP,2018-11,0.658,0.00775
JP,2018-12,0.729,0.0055
JP,2019-01,0.637,0.00725
JP,2019-02,0.637,0.00775
JP,2019-03,0.626,0.0055
JP,2019-04,0.706,0.0075
JP,2019-05,0.576,0.00775
JP,2019-06,0.753,0.007
JP,2019-07,0.727,0.0096
JP,2019-08,0.658,0.0105
JP,2019-09,0.665,0.0088
JP,2019-10,0.685,0.0075
JP,2019-11,0.567,0.011
JP,2019-12,0.71,0.00675
JP,2020-01,0.599,0.009
JP,2020-02,0.639,0.00775
JP,2020-03,0.671,0.0122
JP,2020-04,0.544,0.007
JP,2020-05,0.469,0.008666667
JP,2020-06,0.689,0.0042
JP,2020-07,0.748,0.006
JP,2020-08,0.68,0.0072
JP,2020-09,0.785,0.00625
JP,2020-10,0.761,0.0055
JP,2020-11,0.494,0.0058
JP,2020-12,0.658,0.006
JP,2021-01,0.536,0.0075
JP,2021-02,0.645,0.008
JP,2021-03,0.644,0.0052
JP,2021-04,0.608,0.007
JP,2021-05,0.465,0.00425
JP,2021-06,0.635,0.006
JP,2021-07,0.57,0.008
JP,2021-08,0.585,0.0062
JP,2021-09,0.658,0.0045
JP,2021-10,0.618,0.00575
JP,2021-11,0.584,0.0038
JP,2021-12,0.655,0.005
JP,2022-01,0.69,0.0068
JP,2022-02,0.527,0.0055
JP,2022-03,0.659,0.0055
JP,2022-04,0.562,0.004
JP,2022-05,0.522,0.004
JP,2022-06,0.718,0.004
JP,2022-07,0.599,0.004
JP,2022-08,0.574,0.004
JP,2022-09,0.672,0.004
JP,2022-10,0.628,0.004
JP,2022-11,0.557,0.004
JP,2022-12,0.745,0.004
JP,2023-01,0.704,0.004
JP,2023-02,0.625,0.004
JP,2023-03,0.714,0.004
JP,2023-04,0.69,0.004
JP,2023-05,0.579,0.004
JP,2023-06,0.695,0.006
JP,2023-07,0.635,0.006
JP,2023-08,0.601,0.004
JP,2023-09,0.883,0.004
JP,2023-10,0.703,0.004
JP,2023-11,0.564,0.004
JP,2023-12,0.72,0.004
JP,2024-01,0.696,0.004
JP,2024-02,0.683,0.004
JP,2024-03,0.844,0.004
JP,2024-04,0.83,0.024
JP,2024-05,0.573,0.026
JP,2024-06,0.88,0.026
JP,2024-07,0.794,0.026
JP,2024-08,0.669,0.029
JP,2024-09,0.951,0.112
JP,2024-10,0.887,0.12
JP,2024-11,0.868,0.12
JP,2024-12,1.132,0.12
JP,2025-01,1.047,0.12
JP,2025-02,1.022,0.122
JP,2025-03,1.262,0.192
JP,2025-04,1.195,0.223
JP,2025-05,1.089,0.224
JP,2025-06,1.201,0.225
JP,2025-07,1.28,0.225
JP,2025-08,1.149,0.225
JP,2025-09,1.415,0.225
JP,2025-10,1.272,0.225
JP,2025-11,1.139,0.225
JP,2025-12,1.404,0.225
JP,2026-01,,0.227
JP,2026-02,,0.296
