Time,"Average Interest Rates on Certificates of Deposit <New Issues>(City Banks, etc.)/60 Days - 89 Days (IR02'STRDCDNITL03)"
1960/01,
1960/02,
1960/03,
1960/04,
1960/05,
1960/06,
1960/07,
1960/08,
1960/09,
1960/10,
1960/11,
1960/12,
1961/01,
1961/02,
1961/03,
1961/04,
1961/05,
1961/06,
1961/07,
1961/08,
1961/09,
1961/10,
1961/11,
1961/12,
1962/01,
1962/02,
1962/03,
1962/04,
1962/05,
1962/06,
1962/07,
1962/08,
1962/09,
1962/10,
1962/11,
1962/12,
1963/01,
1963/02,
1963/03,
1963/04,
1963/05,
1963/06,
1963/07,
1963/08,
1963/09,
1963/10,
1963/11,
1963/12,
1964/01,
1964/02,
1964/03,
1964/04,
1964/05,
1964/06,
1964/07,
1964/08,
1964/09,
1964/10,
1964/11,
1964/12,
1965/01,
1965/02,
1965/03,
1965/04,
1965/05,
1965/06,
1965/07,
1965/08,
1965/09,
1965/10,
1965/11,
1965/12,
1966/01,
1966/02,
1966/03,
1966/04,
1966/05,
1966/06,
1966/07,
1966/08,
1966/09,
1966/10,
1966/11,
1966/12,
1967/01,
1967/02,
1967/03,
1967/04,
1967/05,
1967/06,
1967/07,
1967/08,
1967/09,
1967/10,
1967/11,
1967/12,
1968/01,
1968/02,
1968/03,
1968/04,
1968/05,
1968/06,
1968/07,
1968/08,
1968/09,
1968/10,
1968/11,
1968/12,
1969/01,
1969/02,
1969/03,
1969/04,
1969/05,
1969/06,
1969/07,
1969/08,
1969/09,
1969/10,
1969/11,
1969/12,
1970/01,
1970/02,
1970/03,
1970/04,
1970/05,
1970/06,
1970/07,
1970/08,
1970/09,
1970/10,
1970/11,
1970/12,
1971/01,
1971/02,
1971/03,
1971/04,
1971/05,
1971/06,
1971/07,
1971/08,
1971/09,
1971/10,
1971/11,
1971/12,
1972/01,
1972/02,
1972/03,
1972/04,
1972/05,
1972/06,
1972/07,
1972/08,
1972/09,
1972/10,
1972/11,
1972/12,
1973/01,
1973/02,
1973/03,
1973/04,
1973/05,
1973/06,
1973/07,
1973/08,
1973/09,
1973/10,
1973/11,
1973/12,
1974/01,
1974/02,
1974/03,
1974/04,
1974/05,
1974/06,
1974/07,
1974/08,
1974/09,
1974/10,
1974/11,
1974/12,
1975/01,
1975/02,
1975/03,
1975/04,
1975/05,
1975/06,
1975/07,
1975/08,
1975/09,
1975/10,
1975/11,
1975/12,
1976/01,
1976/02,
1976/03,
1976/04,
1976/05,
1976/06,
1976/07,
1976/08,
1976/09,
1976/10,
1976/11,
1976/12,
1977/01,
1977/02,
1977/03,
1977/04,
1977/05,
1977/06,
1977/07,
1977/08,
1977/09,
1977/10,
1977/11,
1977/12,
1978/01,
1978/02,
1978/03,
1978/04,
1978/05,
1978/06,
1978/07,
1978/08,
1978/09,
1978/10,
1978/11,
1978/12,
1979/01,
1979/02,
1979/03,
1979/04,
1979/05,
1979/06,
1979/07,
1979/08,
1979/09,
1979/10,
1979/11,
1979/12,
1980/01,
1980/02,
1980/03,
1980/04,
1980/05,
1980/06,
1980/07,
1980/08,
1980/09,
1980/10,
1980/11,
1980/12,
1981/01,
1981/02,
1981/03,
1981/04,
1981/05,
1981/06,
1981/07,
1981/08,
1981/09,
1981/10,
1981/11,
1981/12,
1982/01,
1982/02,
1982/03,
1982/04,
1982/05,
1982/06,
1982/07,
1982/08,
1982/09,
1982/10,
1982/11,
1982/12,
1983/01,
1983/02,
1983/03,
1983/04,
1983/05,
1983/06,
1983/07,
1983/08,
1983/09,
1983/10,
1983/11,
1983/12,
1984/01,
1984/02,
1984/03,
1984/04,
1984/05,
1984/06,
1984/07,
1984/08,
1984/09,
1984/10,
1984/11,
1984/12,
1985/01,
1985/02,
1985/03,
1985/04,
1985/05,
1985/06,6.35
1985/07,6.376
1985/08,6.385
1985/09,6.424
1985/10,6.4825
1985/11,7.6825
1985/12,7.866
1986/01,6.96
1986/02,6.22
1986/03,5.832
1986/04,4.9575
1986/05,4.7875
1986/06,4.786
1986/07,4.715
1986/08,4.895
1986/09,4.934
1986/10,4.9225
1986/11,4.7175
1986/12,4.592
1987/01,4.41
1987/02,4.2225
1987/03,4.316
1987/04,4.13
1987/05,3.975
1987/06,3.91
1987/07,4.026666667
1987/08,4.102
1987/09,4.2025
1987/10,4.6675
1987/11,4.464
1987/12,4.5125
1988/01,4.345
1988/02,4.376
1988/03,4.4525
1988/04,4.21
1988/05,4.242
1988/06,4.3725
1988/07,4.62
1988/08,4.868
1988/09,5.015
1988/10,4.704
1988/11,4.465
1988/12,4.51
1989/01,4.538
1989/02,4.65
1989/03,4.7425
1989/04,4.6675
1989/05,4.94
1989/06,5.305
1989/07,5.438
1989/08,5.4425
1989/09,5.61
1989/10,6.082
1989/11,6.7025
1989/12,6.7475
1990/01,6.952
1990/02,7.11
1990/03,7.4725
1990/04,7.474
1990/05,7.38
1990/06,7.3725
1990/07,7.608
1990/08,7.9375
1990/09,8.3475
1990/10,8.174
1990/11,8.34
1990/12,8.304
1991/01,8.16
1991/02,8.105
1991/03,8.2275
1991/04,8.06
1991/05,7.92
1991/06,7.81
1991/07,7.582
1991/08,7.43
1991/09,6.942
1991/10,6.5175
1991/11,6.2825
1991/12,6.174
1992/01,5.4275
1992/02,5.3275
1992/03,5.074
1992/04,4.75
1992/05,4.7275
1992/06,4.668
1992/07,4.44
1992/08,4.068
1992/09,4.05
1992/10,3.985
1992/11,3.848
1992/12,3.82
1993/01,3.7675
1993/02,3.345
1993/03,3.29
1993/04,3.2175
1993/05,3.228
1993/06,3.23
1993/07,3.215
1993/08,3.152
1993/09,2.665
1993/10,2.485
1993/11,2.402
1993/12,2.165
1994/01,2.17
1994/02,2.24
1994/03,2.3025
1994/04,2.255
1994/05,2.188
1994/06,2.105
1994/07,2.0925
1994/08,2.284
1994/09,2.345
1994/10,2.312
1994/11,2.365
1994/12,2.3425
1995/01,2.294
1995/02,2.2875
1995/03,2.15
1995/04,1.5325
1995/05,1.334
1995/06,1.19
1995/07,0.956
1995/08,0.86
1995/09,0.6375
1995/10,0.52
1995/11,0.5675
1995/12,0.5225
1996/01,0.526
1996/02,0.6275
1996/03,0.6425
1996/04,0.594
1996/05,0.6025
1996/06,0.545
1996/07,0.612
1996/08,0.6225
1996/09,0.53
1996/10,0.5075
1996/11,0.5075
1996/12,0.514
1997/01,0.52
1997/02,0.5475
1997/03,0.56
1997/04,0.545
1997/05,0.5625
1997/06,0.598
1997/07,0.61
1997/08,0.6
1997/09,0.568
1997/10,0.5275
1997/11,0.5325
1997/12,0.89
1998/01,0.8525
1998/02,1.1525
1998/03,0.852
1998/04,0.67
1998/05,0.5675
1998/06,0.574
1998/07,0.6675
1998/08,0.742
1998/09,0.5275
1998/10,0.5275
1998/11,0.652
1998/12,0.6375
1999/01,0.5925
1999/02,0.545
1999/03,0.196
1999/04,0.115
1999/05,0.074
1999/06,0.06
1999/07,0.0625
1999/08,0.056
1999/09,0.06
1999/10,0.1525
1999/11,0.402
1999/12,0.31
2000/01,0.088
2000/02,0.095
2000/03,0.1125
2000/04,0.075
2000/05,0.064
2000/06,0.08
2000/07,0.152
2000/08,0.2725
2000/09,0.36
2000/10,0.376
2000/11,0.57
2000/12,0.625
2001/01,0.46
2001/02,0.3925
2001/03,0.1675
2001/04,0.052
2001/05,0.03
2001/06,0.0275
2001/07,0.04
2001/08,0.05
2001/09,0.03
2001/10,0.034
2001/11,0.045
2001/12,0.05
2002/01,0.055
2002/02,0.0925
2002/03,0.17425
2002/04,0.0302
2002/05,0.02875
2002/06,0.0435
2002/07,0.0344
2002/08,0.03075
2002/09,0.0336
2002/10,0.0255
2002/11,0.0465
2002/12,0.0394
2003/01,0.039
2003/02,0.049
2003/03,0.05
2003/04,0.028
2003/05,0.02925
2003/06,0.0284
2003/07,0.02725
2003/08,0.03525
2003/09,0.035
2003/10,0.02625
2003/11,0.03225
2003/12,0.0314
2004/01,0.03025
2004/02,0.02725
2004/03,0.0382
2004/04,0.0315
2004/05,0.0242
2004/06,0.02875
2004/07,0.02825
2004/08,0.029
2004/09,0.036
2004/10,0.02725
2004/11,0.0332
2004/12,0.02925
2005/01,0.0264
2005/02,0.0215
2005/03,0.0305
2005/04,0.02825
2005/05,0.0264
2005/06,0.024
2005/07,0.02575
2005/08,0.0294
2005/09,0.03075
2005/10,0.0232
2005/11,0.024
2005/12,0.0295
2006/01,0.0346
2006/02,0.0485
2006/03,0.06675
2006/04,0.04975
2006/05,0.084
2006/06,0.20275
2006/07,0.34
2006/08,0.38475
2006/09,0.376
2006/10,0.374
2006/11,0.386
2006/12,0.42375
2007/01,0.465
2007/02,0.518
2007/03,0.6005
2007/04,0.5698
2007/05,0.5705
2007/06,0.559
2007/07,0.595
2007/08,0.699
2007/09,0.7475
2007/10,0.7032
2007/11,0.73475
2007/12,0.7116
2008/01,0.66925
2008/02,0.72175
2008/03,0.7284
2008/04,0.6445
2008/05,0.67525
2008/06,0.677
2008/07,0.637
2008/08,0.7105
2008/09,0.738
2008/10,0.74275
2008/11,0.74325
2008/12,0.7122
2009/01,0.42025
2009/02,0.57675
2009/03,0.4778
2009/04,0.33575
2009/05,0.29925
2009/06,0.2856
2009/07,0.2425
2009/08,0.2158
2009/09,0.20275
2009/10,0.20275
2009/11,0.2058
2009/12,0.19025
2010/01,0.1735
2010/02,0.162
2010/03,0.1596
2010/04,0.14525
2010/05,0.1312
2010/06,0.12825
2010/07,0.1215
2010/08,0.1184
2010/09,0.11875
2010/10,0.10675
2010/11,0.1032
2010/12,0.1105
2011/01,0.1098
2011/02,0.12475
2011/03,0.131
2011/04,0.10775
2011/05,0.1062
2011/06,0.108
2011/07,0.1135
2011/08,0.1078
2011/09,0.10725
2011/10,0.11
2011/11,0.10475
2011/12,0.10725
2012/01,0.1112
2012/02,0.11725
2012/03,0.112
2012/04,0.116
2012/05,0.1155
2012/06,0.11525
2012/07,0.1148
2012/08,0.111
2012/09,0.116
2012/10,0.1112
2012/11,0.10525
2012/12,0.104
2013/01,0.107
2013/02,0.106
2013/03,0.0875
2013/04,0.0956
2013/05,0.09925
2013/06,0.097
2013/07,0.0858
2013/08,0.103
2013/09,0.0954
2013/10,0.09575
2013/11,0.09925
2013/12,0.0886
2014/01,0.0895
2014/02,0.096
2014/03,0.0906
2014/04,0.0915
2014/05,0.09525
2014/06,0.0948
2014/07,0.091
2014/08,0.09625
2014/09,0.0922
2014/10,0.08075
2014/11,0.0885
2014/12,0.089
2015/01,0.0785
2015/02,0.08125
2015/03,0.0836
2015/04,0.085
2015/05,0.08825
2015/06,0.075
2015/07,0.08275
2015/08,0.0818
2015/09,0.0875
2015/10,0.09
2015/11,0.088
2015/12,0.09
2016/01,0.0865
2016/02,0.0264
2016/03,0.00875
2016/04,0.00825
2016/05,0.0098
2016/06,0.0085
2016/07,0.00325
2016/08,0.0048
2016/09,0.0065
2016/10,0.0052
2016/11,0.00925
2016/12,0.00575
2017/01,0.008
2017/02,0.00925
2017/03,0.007
2017/04,0.0055
2017/05,0.0058
2017/06,0.0045
2017/07,0.0066
2017/08,0.005
2017/09,0.00625
2017/10,0.004
2017/11,0.00725
2017/12,0.00625
2018/01,0.0058
2018/02,0.0085
2018/03,0.00625
2018/04,0.008
2018/05,0.004
2018/06,0.0055
2018/07,0.0066
2018/08,0.008
2018/09,0.007
2018/10,0.0082
2018/11,0.00775
2018/12,0.0055
2019/01,0.00725
2019/02,0.00775
2019/03,0.0055
2019/04,0.0075
2019/05,0.00775
2019/06,0.007
2019/07,0.0096
2019/08,0.0105
2019/09,0.0088
2019/10,0.0075
2019/11,0.011
2019/12,0.00675
2020/01,0.009
2020/02,0.00775
2020/03,0.0122
2020/04,0.007
2020/05,0.008666667
2020/06,0.0042
2020/07,0.006
2020/08,0.0072
2020/09,0.00625
2020/10,0.0055
2020/11,0.0058
2020/12,0.006
2021/01,0.0075
2021/02,0.008
2021/03,0.0052
2021/04,0.007
2021/05,0.00425
2021/06,0.006
2021/07,0.008
2021/08,0.0062
2021/09,0.0045
2021/10,0.00575
2021/11,0.0038
2021/12,0.005
2022/01,0.0068
2022/02,0.0055
2022/03,0.0055
2022/04,
2022/05,
2022/06,
2022/07,
2022/08,
2022/09,
2022/10,
2022/11,
2022/12,
2023/01,
2023/02,
2023/03,
2023/04,
2023/05,
2023/06,
2023/07,
2023/08,
2023/09,
2023/10,
2023/11,
2023/12,
2024/01,
2024/02,
2024/03,
2024/04,
2024/05,
2024/06,
2024/07,
2024/08,
2024/09,
2024/10,
2024/11,
2024/12,
2025/01,
2025/02,
2025/03,
2025/04,
2025/05,
2025/06,
2025/07,
2025/08,
2025/09,
2025/10,
2025/11,
2025/12,
2026/01,
2026/02,
2026/03,
2026/04,
2026/05,
2026/06,
2026/07,
2026/08,
2026/09,
2026/10,
2026/11,
2026/12,
