"DATE","TIME PERIOD","CONSUMER PRICES, ALL ITEMS (WHOLE COUNTRY), NSA (RTD.M.JP.N.P_C_OV.X)"
"1970-01-16","1970Jan","30.3"
"1970-02-15","1970Feb","30.3"
"1970-03-16","1970Mar","30.6"
"1970-04-15","1970Apr","30.9"
"1970-05-16","1970May","30.8"
"1970-06-15","1970Jun","30.8"
"1970-07-16","1970Jul","30.8"
"1970-08-16","1970Aug","30.7"
"1970-09-15","1970Sep","31.2"
"1970-10-16","1970Oct","31.7"
"1970-11-15","1970Nov","31.7"
"1970-12-16","1970Dec","31.9"
"1971-01-16","1971Jan","32.2"
"1971-02-15","1971Feb","32.2"
"1971-03-16","1971Mar","32.3"
"1971-04-15","1971Apr","32.7"
"1971-05-16","1971May","32.8"
"1971-06-15","1971Jun","32.9"
"1971-07-16","1971Jul","32.9"
"1971-08-16","1971Aug","32.9"
"1971-09-15","1971Sep","33.7"
"1971-10-16","1971Oct","33.8"
"1971-11-15","1971Nov","33.5"
"1971-12-16","1971Dec","33.5"
"1972-01-16","1972Jan","33.5"
"1972-02-16","1972Feb","33.7"
"1972-03-16","1972Mar","34.0"
"1972-04-15","1972Apr","34.4"
"1972-05-16","1972May","34.5"
"1972-06-15","1972Jun","34.5"
"1972-07-16","1972Jul","34.5"
"1972-08-16","1972Aug","34.8"
"1972-09-15","1972Sep","35.0"
"1972-10-16","1972Oct","35.2"
"1972-11-15","1972Nov","35.1"
"1972-12-16","1972Dec","35.4"
"1973-01-16","1973Jan","35.7"
"1973-02-15","1973Feb","36.0"
"1973-03-16","1973Mar","36.9"
"1973-04-15","1973Apr","37.6"
"1973-05-16","1973May","38.2"
"1973-06-15","1973Jun","38.3"
"1973-07-16","1973Jul","38.6"
"1973-08-16","1973Aug","38.9"
"1973-09-15","1973Sep","40.0"
"1973-10-16","1973Oct","40.2"
"1973-11-15","1973Nov","40.5"
"1973-12-16","1973Dec","41.8"
"1974-01-16","1974Jan","43.6"
"1974-02-15","1974Feb","45.0"
"1974-03-16","1974Mar","45.3"
"1974-04-15","1974Apr","46.4"
"1974-05-16","1974May","46.6"
"1974-06-15","1974Jun","46.9"
"1974-07-16","1974Jul","47.8"
"1974-08-16","1974Aug","48.3"
"1974-09-15","1974Sep","49.0"
"1974-10-16","1974Oct","50.1"
"1974-11-15","1974Nov","50.5"
"1974-12-16","1974Dec","50.6"
"1975-01-16","1975Jan","51.2"
"1975-02-15","1975Feb","51.3"
"1975-03-16","1975Mar","51.7"
"1975-04-15","1975Apr","52.6"
"1975-05-16","1975May","52.9"
"1975-06-15","1975Jun","52.9"
"1975-07-16","1975Jul","53.1"
"1975-08-16","1975Aug","52.9"
"1975-09-15","1975Sep","54.1"
"1975-10-16","1975Oct","54.9"
"1975-11-15","1975Nov","54.7"
"1975-12-16","1975Dec","54.7"
"1976-01-16","1976Jan","55.7"
"1976-02-16","1976Feb","56.1"
"1976-03-16","1976Mar","56.3"
"1976-04-15","1976Apr","57.6"
"1976-05-16","1976May","57.8"
"1976-06-15","1976Jun","57.9"
"1976-07-16","1976Jul","58.3"
"1976-08-16","1976Aug","57.9"
"1976-09-15","1976Sep","59.4"
"1976-10-16","1976Oct","59.7"
"1976-11-15","1976Nov","59.7"
"1976-12-16","1976Dec","60.4"
"1977-01-16","1977Jan","60.9"
"1977-02-15","1977Feb","61.3"
"1977-03-16","1977Mar","61.6"
"1977-04-15","1977Apr","62.6"
"1977-05-16","1977May","63.2"
"1977-06-15","1977Jun","63.0"
"1977-07-16","1977Jul","62.8"
"1977-08-16","1977Aug","62.9"
"1977-09-15","1977Sep","63.9"
"1977-10-16","1977Oct","64.3"
"1977-11-15","1977Nov","63.6"
"1977-12-16","1977Dec","63.5"
"1978-01-16","1978Jan","63.7"
"1978-02-15","1978Feb","64.1"
"1978-03-16","1978Mar","64.6"
"1978-04-15","1978Apr","65.3"
"1978-05-16","1978May","65.7"
"1978-06-15","1978Jun","65.4"
"1978-07-16","1978Jul","65.6"
"1978-08-16","1978Aug","65.8"
"1978-09-15","1978Sep","66.5"
"1978-10-16","1978Oct","66.6"
"1978-11-15","1978Nov","66.0"
"1978-12-16","1978Dec","65.9"
"1979-01-16","1979Jan","66.0"
"1979-02-15","1979Feb","65.8"
"1979-03-16","1979Mar","66.4"
"1979-04-15","1979Apr","67.2"
"1979-05-16","1979May","67.8"
"1979-06-15","1979Jun","67.9"
"1979-07-16","1979Jul","68.5"
"1979-08-16","1979Aug","67.8"
"1979-09-15","1979Sep","68.7"
"1979-10-16","1979Oct","69.5"
"1979-11-15","1979Nov","69.2"
"1979-12-16","1979Dec","69.7"
"1980-01-16","1980Jan","70.3"
"1980-02-16","1980Feb","70.9"
"1980-03-16","1980Mar","71.3"
"1980-04-15","1980Apr","72.6"
"1980-05-16","1980May","73.2"
"1980-06-15","1980Jun","73.5"
"1980-07-16","1980Jul","73.6"
"1980-08-16","1980Aug","73.4"
"1980-09-15","1980Sep","74.6"
"1980-10-16","1980Oct","74.8"
"1980-11-15","1980Nov","74.9"
"1980-12-16","1980Dec","74.7"
"1981-01-16","1981Jan","75.5"
"1981-02-15","1981Feb","75.4"
"1981-03-16","1981Mar","75.6"
"1981-04-15","1981Apr","76.2"
"1981-05-16","1981May","76.9"
"1981-06-15","1981Jun","77.0"
"1981-07-16","1981Jul","76.8"
"1981-08-16","1981Aug","76.5"
"1981-09-15","1981Sep","77.6"
"1981-10-16","1981Oct","77.9"
"1981-11-15","1981Nov","77.8"
"1981-12-16","1981Dec","77.9"
"1982-01-16","1982Jan","77.9"
"1982-02-15","1982Feb","77.8"
"1982-03-16","1982Mar","77.9"
"1982-04-15","1982Apr","78.5"
"1982-05-16","1982May","78.8"
"1982-06-15","1982Jun","78.8"
"1982-07-16","1982Jul","78.3"
"1982-08-16","1982Aug","78.9"
"1982-09-15","1982Sep","80.1"
"1982-10-16","1982Oct","80.3"
"1982-11-15","1982Nov","79.6"
"1982-12-16","1982Dec","79.5"
"1983-01-16","1983Jan","79.6"
"1983-02-15","1983Feb","79.3"
"1983-03-16","1983Mar","79.7"
"1983-04-15","1983Apr","80.1"
"1983-05-16","1983May","80.9"
"1983-06-15","1983Jun","80.4"
"1983-07-16","1983Jul","80.1"
"1983-08-16","1983Aug","79.9"
"1983-09-15","1983Sep","80.8"
"1983-10-16","1983Oct","81.5"
"1983-11-15","1983Nov","81.1"
"1983-12-16","1983Dec","80.8"
"1984-01-16","1984Jan","81.1"
"1984-02-16","1984Feb","81.6"
"1984-03-16","1984Mar","81.7"
"1984-04-15","1984Apr","81.9"
"1984-05-16","1984May","82.5"
"1984-06-15","1984Jun","81.9"
"1984-07-16","1984Jul","82.1"
"1984-08-16","1984Aug","81.4"
"1984-09-15","1984Sep","82.7"
"1984-10-16","1984Oct","83.2"
"1984-11-15","1984Nov","82.8"
"1984-12-16","1984Dec","83.0"
"1985-01-16","1985Jan","83.2"
"1985-02-15","1985Feb","82.9"
"1985-03-16","1985Mar","83.2"
"1985-04-15","1985Apr","83.8"
"1985-05-16","1985May","83.9"
"1985-06-15","1985Jun","83.9"
"1985-07-16","1985Jul","84.1"
"1985-08-16","1985Aug","83.9"
"1985-09-15","1985Sep","84.0"
"1985-10-16","1985Oct","84.8"
"1985-11-15","1985Nov","84.1"
"1985-12-16","1985Dec","84.2"
"1986-01-16","1986Jan","84.5"
"1986-02-15","1986Feb","84.4"
"1986-03-16","1986Mar","84.3"
"1986-04-15","1986Apr","84.6"
"1986-05-16","1986May","84.8"
"1986-06-15","1986Jun","84.4"
"1986-07-16","1986Jul","84.2"
"1986-08-16","1986Aug","84.0"
"1986-09-15","1986Sep","84.4"
"1986-10-16","1986Oct","84.5"
"1986-11-15","1986Nov","84.1"
"1986-12-16","1986Dec","83.9"
"1987-01-16","1987Jan","83.6"
"1987-02-15","1987Feb","83.6"
"1987-03-16","1987Mar","83.9"
"1987-04-15","1987Apr","84.7"
"1987-05-16","1987May","84.8"
"1987-06-15","1987Jun","84.7"
"1987-07-16","1987Jul","84.3"
"1987-08-16","1987Aug","84.3"
"1987-09-15","1987Sep","85.1"
"1987-10-16","1987Oct","85.1"
"1987-11-15","1987Nov","84.7"
"1987-12-16","1987Dec","84.6"
"1988-01-16","1988Jan","84.3"
"1988-02-16","1988Feb","84.2"
"1988-03-16","1988Mar","84.5"
"1988-04-15","1988Apr","84.9"
"1988-05-16","1988May","85.0"
"1988-06-15","1988Jun","84.8"
"1988-07-16","1988Jul","84.7"
"1988-08-16","1988Aug","84.9"
"1988-09-15","1988Sep","85.6"
"1988-10-16","1988Oct","86.0"
"1988-11-15","1988Nov","85.7"
"1988-12-16","1988Dec","85.4"
"1989-01-16","1989Jan","85.3"
"1989-02-15","1989Feb","85.0"
"1989-03-16","1989Mar","85.4"
"1989-04-15","1989Apr","86.9"
"1989-05-16","1989May","87.4"
"1989-06-15","1989Jun","87.4"
"1989-07-16","1989Jul","87.2"
"1989-08-16","1989Aug","87.1"
"1989-09-15","1989Sep","87.9"
"1989-10-16","1989Oct","88.5"
"1989-11-15","1989Nov","87.6"
"1989-12-16","1989Dec","87.7"
"1990-01-16","1990Jan","88.1"
"1990-02-15","1990Feb","88.2"
"1990-03-16","1990Mar","88.5"
"1990-04-15","1990Apr","89.3"
"1990-05-16","1990May","89.7"
"1990-06-15","1990Jun","89.4"
"1990-07-16","1990Jul","89.2"
"1990-08-16","1990Aug","89.5"
"1990-09-15","1990Sep","90.2"
"1990-10-16","1990Oct","91.2"
"1990-11-15","1990Nov","91.1"
"1990-12-16","1990Dec","91.0"
"1991-01-16","1991Jan","91.6"
"1991-02-15","1991Feb","91.3"
"1991-03-16","1991Mar","91.8"
"1991-04-15","1991Apr","92.3"
"1991-05-16","1991May","92.8"
"1991-06-15","1991Jun","92.4"
"1991-07-16","1991Jul","92.3"
"1991-08-16","1991Aug","92.5"
"1991-09-15","1991Sep","92.7"
"1991-10-16","1991Oct","93.7"
"1991-11-15","1991Nov","93.8"
"1991-12-16","1991Dec","93.4"
"1992-01-16","1992Jan","93.2"
"1992-02-16","1992Feb","93.1"
"1992-03-16","1992Mar","93.6"
"1992-04-15","1992Apr","94.6"
"1992-05-16","1992May","94.6"
"1992-06-15","1992Jun","94.6"
"1992-07-16","1992Jul","93.8"
"1992-08-16","1992Aug","94.1"
"1992-09-15","1992Sep","94.6"
"1992-10-16","1992Oct","94.6"
"1992-11-15","1992Nov","94.5"
"1992-12-16","1992Dec","94.5"
"1993-01-16","1993Jan","94.4"
"1993-02-15","1993Feb","94.5"
"1993-03-16","1993Mar","94.7"
"1993-04-15","1993Apr","95.4"
"1993-05-16","1993May","95.4"
"1993-06-15","1993Jun","95.4"
"1993-07-16","1993Jul","95.6"
"1993-08-16","1993Aug","95.9"
"1993-09-15","1993Sep","96.0"
"1993-10-16","1993Oct","95.9"
"1993-11-15","1993Nov","95.4"
"1993-12-16","1993Dec","95.4"
"1994-01-16","1994Jan","95.5"
"1994-02-15","1994Feb","95.5"
"1994-03-16","1994Mar","96.0"
"1994-04-15","1994Apr","96.2"
"1994-05-16","1994May","96.3"
"1994-06-15","1994Jun","95.9"
"1994-07-16","1994Jul","95.4"
"1994-08-16","1994Aug","95.9"
"1994-09-15","1994Sep","96.2"
"1994-10-16","1994Oct","96.6"
"1994-11-15","1994Nov","96.3"
"1994-12-16","1994Dec","96.1"
"1995-01-16","1995Jan","96.1"
"1995-02-15","1995Feb","95.8"
"1995-03-16","1995Mar","95.7"
"1995-04-15","1995Apr","96.0"
"1995-05-16","1995May","96.2"
"1995-06-15","1995Jun","96.1"
"1995-07-16","1995Jul","95.6"
"1995-08-16","1995Aug","95.7"
"1995-09-15","1995Sep","96.3"
"1995-10-16","1995Oct","96.0"
"1995-11-15","1995Nov","95.7"
"1995-12-16","1995Dec","95.7"
"1996-01-16","1996Jan","95.6"
"1996-02-16","1996Feb","95.4"
"1996-03-16","1996Mar","95.6"
"1996-04-15","1996Apr","96.2"
"1996-05-16","1996May","96.4"
"1996-06-15","1996Jun","96.1"
"1996-07-16","1996Jul","96.0"
"1996-08-16","1996Aug","95.9"
"1996-09-15","1996Sep","96.3"
"1996-10-16","1996Oct","96.5"
"1996-11-15","1996Nov","96.2"
"1996-12-16","1996Dec","96.3"
"1997-01-16","1997Jan","96.2"
"1997-02-15","1997Feb","96.0"
"1997-03-16","1997Mar","96.1"
"1997-04-15","1997Apr","98.0"
"1997-05-16","1997May","98.2"
"1997-06-15","1997Jun","98.2"
"1997-07-16","1997Jul","97.8"
"1997-08-16","1997Aug","97.9"
"1997-09-15","1997Sep","98.6"
"1997-10-16","1997Oct","98.9"
"1997-11-15","1997Nov","98.2"
"1997-12-16","1997Dec","98.0"
"1998-01-16","1998Jan","97.9"
"1998-02-15","1998Feb","97.8"
"1998-03-16","1998Mar","98.2"
"1998-04-15","1998Apr","98.4"
"1998-05-16","1998May","98.7"
"1998-06-15","1998Jun","98.3"
"1998-07-16","1998Jul","97.7"
"1998-08-16","1998Aug","97.6"
"1998-09-15","1998Sep","98.4"
"1998-10-16","1998Oct","99.1"
"1998-11-15","1998Nov","99.0"
"1998-12-16","1998Dec","98.6"
"1999-01-16","1999Jan","98.1"
"1999-02-15","1999Feb","97.7"
"1999-03-16","1999Mar","97.8"
"1999-04-15","1999Apr","98.3"
"1999-05-16","1999May","98.3"
"1999-06-15","1999Jun","98.0"
"1999-07-16","1999Jul","97.6"
"1999-08-16","1999Aug","97.9"
"1999-09-15","1999Sep","98.2"
"1999-10-16","1999Oct","98.4"
"1999-11-15","1999Nov","97.8"
"1999-12-16","1999Dec","97.5"
"2000-01-16","2000Jan","97.4"
"2000-02-16","2000Feb","97.1"
"2000-03-16","2000Mar","97.3"
"2000-04-15","2000Apr","97.5"
"2000-05-16","2000May","97.6"
"2000-06-15","2000Jun","97.4"
"2000-07-16","2000Jul","97.1"
"2000-08-16","2000Aug","97.4"
"2000-09-15","2000Sep","97.3"
"2000-10-16","2000Oct","97.3"
"2000-11-15","2000Nov","97.0"
"2000-12-16","2000Dec","97.1"
"2001-01-16","2001Jan","97.1"
"2001-02-15","2001Feb","96.8"
"2001-03-16","2001Mar","96.7"
"2001-04-15","2001Apr","96.8"
"2001-05-16","2001May","96.9"
"2001-06-15","2001Jun","96.7"
"2001-07-16","2001Jul","96.4"
"2001-08-16","2001Aug","96.7"
"2001-09-15","2001Sep","96.6"
"2001-10-16","2001Oct","96.6"
"2001-11-15","2001Nov","96.1"
"2001-12-16","2001Dec","96.0"
"2002-01-16","2002Jan","95.8"
"2002-02-15","2002Feb","95.3"
"2002-03-16","2002Mar","95.5"
"2002-04-15","2002Apr","95.8"
"2002-05-16","2002May","96.1"
"2002-06-15","2002Jun","96.0"
"2002-07-16","2002Jul","95.6"
"2002-08-16","2002Aug","95.9"
"2002-09-15","2002Sep","95.9"
"2002-10-16","2002Oct","95.7"
"2002-11-15","2002Nov","95.7"
"2002-12-16","2002Dec","95.7"
"2003-01-16","2003Jan","95.4"
"2003-02-15","2003Feb","95.1"
"2003-03-16","2003Mar","95.4"
"2003-04-15","2003Apr","95.7"
"2003-05-16","2003May","95.9"
"2003-06-15","2003Jun","95.6"
"2003-07-16","2003Jul","95.4"
"2003-08-16","2003Aug","95.6"
"2003-09-15","2003Sep","95.7"
"2003-10-16","2003Oct","95.7"
"2003-11-15","2003Nov","95.2"
"2003-12-16","2003Dec","95.3"
"2004-01-16","2004Jan","95.1"
"2004-02-16","2004Feb","95.1"
"2004-03-16","2004Mar","95.3"
"2004-04-15","2004Apr","95.3"
"2004-05-16","2004May","95.4"
"2004-06-15","2004Jun","95.6"
"2004-07-16","2004Jul","95.3"
"2004-08-16","2004Aug","95.4"
"2004-09-15","2004Sep","95.7"
"2004-10-16","2004Oct","96.2"
"2004-11-15","2004Nov","96.0"
"2004-12-16","2004Dec","95.5"
"2005-01-16","2005Jan","95.3"
"2005-02-15","2005Feb","95.0"
"2005-03-16","2005Mar","95.3"
"2005-04-15","2005Apr","95.4"
"2005-05-16","2005May","95.5"
"2005-06-15","2005Jun","95.1"
"2005-07-16","2005Jul","95.0"
"2005-08-16","2005Aug","95.1"
"2005-09-15","2005Sep","95.4"
"2005-10-16","2005Oct","95.4"
"2005-11-15","2005Nov","95.0"
"2005-12-16","2005Dec","95.1"
"2006-01-16","2006Jan","95.2"
"2006-02-15","2006Feb","94.9"
"2006-03-16","2006Mar","95.1"
"2006-04-15","2006Apr","95.3"
"2006-05-16","2006May","95.6"
"2006-06-15","2006Jun","95.6"
"2006-07-16","2006Jul","95.3"
"2006-08-16","2006Aug","96.0"
"2006-09-15","2006Sep","96.0"
"2006-10-16","2006Oct","95.8"
"2006-11-15","2006Nov","95.3"
"2006-12-16","2006Dec","95.4"
"2007-01-16","2007Jan","95.2"
"2007-02-15","2007Feb","94.7"
"2007-03-16","2007Mar","95.0"
"2007-04-15","2007Apr","95.3"
"2007-05-16","2007May","95.6"
"2007-06-15","2007Jun","95.4"
"2007-07-16","2007Jul","95.3"
"2007-08-16","2007Aug","95.8"
"2007-09-15","2007Sep","95.8"
"2007-10-16","2007Oct","96.0"
"2007-11-15","2007Nov","95.9"
"2007-12-16","2007Dec","96.0"
"2008-01-16","2008Jan","95.9"
"2008-02-16","2008Feb","95.7"
"2008-03-16","2008Mar","96.1"
"2008-04-15","2008Apr","96.0"
"2008-05-16","2008May","96.8"
"2008-06-15","2008Jun","97.3"
"2008-07-16","2008Jul","97.5"
"2008-08-16","2008Aug","97.8"
"2008-09-15","2008Sep","97.8"
"2008-10-16","2008Oct","97.7"
"2008-11-15","2008Nov","96.8"
"2008-12-16","2008Dec","96.4"
"2009-01-16","2009Jan","95.9"
"2009-02-15","2009Feb","95.6"
"2009-03-16","2009Mar","95.9"
"2009-04-15","2009Apr","96.0"
"2009-05-16","2009May","95.8"
"2009-06-15","2009Jun","95.6"
"2009-07-16","2009Jul","95.3"
"2009-08-16","2009Aug","95.6"
"2009-09-15","2009Sep","95.6"
"2009-10-16","2009Oct","95.2"
"2009-11-15","2009Nov","95.0"
"2009-12-16","2009Dec","94.8"
"2010-01-16","2010Jan","94.9"
"2010-02-15","2010Feb","94.9"
"2010-03-16","2010Mar","95.1"
"2010-04-15","2010Apr","95.1"
"2010-05-16","2010May","95.1"
"2010-06-15","2010Jun","94.9"
"2010-07-16","2010Jul","94.4"
"2010-08-16","2010Aug","94.5"
"2010-09-15","2010Sep","94.7"
"2010-10-16","2010Oct","95.0"
"2010-11-15","2010Nov","94.7"
"2010-12-16","2010Dec","94.5"
"2011-01-16","2011Jan","94.4"
"2011-02-15","2011Feb","94.4"
"2011-03-16","2011Mar","94.6"
"2011-04-15","2011Apr","94.7"
"2011-05-16","2011May","94.7"
"2011-06-15","2011Jun","94.6"
"2011-07-16","2011Jul","94.6"
"2011-08-16","2011Aug","94.7"
"2011-09-15","2011Sep","94.7"
"2011-10-16","2011Oct","94.8"
"2011-11-15","2011Nov","94.2"
"2011-12-16","2011Dec","94.3"
"2012-01-16","2012Jan","94.5"
"2012-02-16","2012Feb","94.7"
"2012-03-16","2012Mar","95.1"
"2012-04-15","2012Apr","95.2"
"2012-05-16","2012May","94.9"
"2012-06-15","2012Jun","94.4"
"2012-07-16","2012Jul","94.1"
"2012-08-16","2012Aug","94.3"
"2012-09-15","2012Sep","94.4"
"2012-10-16","2012Oct","94.4"
"2012-11-15","2012Nov","94.1"
"2012-12-16","2012Dec","94.1"
"2013-01-16","2013Jan","94.2"
"2013-02-15","2013Feb","94.0"
"2013-03-16","2013Mar","94.2"
"2013-04-15","2013Apr","94.5"
"2013-05-16","2013May","94.6"
"2013-06-15","2013Jun","94.6"
"2013-07-16","2013Jul","94.8"
"2013-08-16","2013Aug","95.1"
"2013-09-15","2013Sep","95.4"
"2013-10-16","2013Oct","95.5"
"2013-11-15","2013Nov","95.5"
"2013-12-16","2013Dec","95.6"
"2014-01-16","2014Jan","95.5"
"2014-02-15","2014Feb","95.5"
"2014-03-16","2014Mar","95.7"
"2014-04-15","2014Apr","97.7"
"2014-05-16","2014May","98.1"
"2014-06-15","2014Jun","98.0"
"2014-07-16","2014Jul","98.1"
"2014-08-16","2014Aug","98.3"
"2014-09-15","2014Sep","98.5"
"2014-10-16","2014Oct","98.2"
"2014-11-15","2014Nov","97.9"
"2014-12-16","2014Dec","97.9"
"2015-01-16","2015Jan","97.8"
"2015-02-15","2015Feb","97.6"
"2015-03-16","2015Mar","97.9"
"2015-04-15","2015Apr","98.4"
"2015-05-16","2015May","98.7"
"2015-06-15","2015Jun","98.4"
"2015-07-16","2015Jul","98.3"
"2015-08-16","2015Aug","98.4"
"2015-09-15","2015Sep","98.5"
"2015-10-16","2015Oct","98.5"
"2015-11-15","2015Nov","98.1"
"2015-12-16","2015Dec","98.1"
"2016-01-16","2016Jan","97.7"
"2016-02-16","2016Feb","97.8"
"2016-03-16","2016Mar","97.9"
"2016-04-15","2016Apr","98.1"
"2016-05-16","2016May","98.2"
"2016-06-15","2016Jun","98.1"
"2016-07-16","2016Jul","97.9"
"2016-08-16","2016Aug","97.9"
"2016-09-15","2016Sep","98.0"
"2016-10-16","2016Oct","98.6"
"2016-11-15","2016Nov","98.6"
"2016-12-16","2016Dec","98.4"
"2017-01-16","2017Jan","98.2"
"2017-02-15","2017Feb","98.1"
"2017-03-16","2017Mar","98.1"
"2017-04-15","2017Apr","98.5"
"2017-05-16","2017May","98.6"
"2017-06-15","2017Jun","98.5"
"2017-07-16","2017Jul","98.3"
"2017-08-16","2017Aug","98.5"
"2017-09-15","2017Sep","98.8"
"2017-10-16","2017Oct","98.8"
"2017-11-15","2017Nov","99.1"
"2017-12-16","2017Dec","99.4"
"2018-01-16","2018Jan","99.5"
"2018-02-15","2018Feb","99.5"
"2018-03-16","2018Mar","99.2"
"2018-04-15","2018Apr","99.1"
"2018-05-16","2018May","99.3"
"2018-06-15","2018Jun","99.2"
"2018-07-16","2018Jul","99.2"
"2018-08-16","2018Aug","99.8"
"2018-09-15","2018Sep","99.9"
"2018-10-16","2018Oct","100.2"
"2018-11-15","2018Nov","100.0"
"2018-12-16","2018Dec","99.7"
"2019-01-16","2019Jan","99.7"
"2019-02-15","2019Feb","99.7"
"2019-03-16","2019Mar","99.7"
"2019-04-15","2019Apr","100.0"
"2019-05-16","2019May","100.0"
"2019-06-15","2019Jun","99.8"
"2019-07-16","2019Jul","99.8"
"2019-08-16","2019Aug","100.0"
"2019-09-15","2019Sep","100.1"
"2019-10-16","2019Oct","100.4"
"2019-11-15","2019Nov","100.5"
"2019-12-16","2019Dec","100.5"
"2020-01-16","2020Jan","100.5"
"2020-02-16","2020Feb","100.3"
"2020-03-16","2020Mar","100.3"
"2020-04-15","2020Apr","100.2"
"2020-05-16","2020May","100.1"
"2020-06-15","2020Jun","99.9"
"2020-07-16","2020Jul","100.0"
"2020-08-16","2020Aug","100.1"
"2020-09-15","2020Sep","99.9"
"2020-10-16","2020Oct","99.8"
"2020-11-15","2020Nov","99.5"
"2020-12-16","2020Dec","99.3"
"2021-01-16","2021Jan","99.8"
"2021-02-15","2021Feb","99.8"
"2021-03-16","2021Mar","99.9"
"2021-04-15","2021Apr","99.1"
"2021-05-16","2021May","99.4"
"2021-06-15","2021Jun","99.5"
"2021-07-16","2021Jul","99.7"
"2021-08-16","2021Aug","99.7"
"2021-09-15","2021Sep","100.1"
"2021-10-16","2021Oct","99.9"
"2021-11-15","2021Nov","100.1"
"2021-12-16","2021Dec","100.1"
"2022-01-16","2022Jan","100.3"
"2022-02-15","2022Feb","100.7"
"2022-03-16","2022Mar","101.1"
"2022-04-15","2022Apr","101.5"
"2022-05-16","2022May","101.8"
"2022-06-15","2022Jun","101.8"
"2022-07-16","2022Jul","102.3"
"2022-08-16","2022Aug","102.7"
"2022-09-15","2022Sep","103.1"
"2022-10-16","2022Oct","103.7"
"2022-11-15","2022Nov","103.9"
"2022-12-16","2022Dec","104.1"
"2023-01-16","2023Jan","104.7"
"2023-02-15","2023Feb","104.0"
"2023-03-16","2023Mar","104.4"
"2023-04-15","2023Apr","105.1"
"2023-05-16","2023May","105.1"
"2023-06-15","2023Jun","105.2"
"2023-07-16","2023Jul","105.7"
"2023-08-16","2023Aug","105.9"
"2023-09-15","2023Sep","106.2"
"2023-10-16","2023Oct","107.1"
"2023-11-15","2023Nov","106.9"
"2023-12-16","2023Dec","106.8"
"2024-01-16","2024Jan","106.9"
"2024-02-16","2024Feb","106.9"
"2024-03-16","2024Mar","107.2"
"2024-04-15","2024Apr","107.7"
"2024-05-16","2024May","108.1"
"2024-06-15","2024Jun","108.2"
"2024-07-16","2024Jul","108.6"
"2024-08-16","2024Aug","109.1"
"2024-09-15","2024Sep","108.9"
"2024-10-16","2024Oct","109.5"
"2024-11-15","2024Nov","110.0"
"2024-12-16","2024Dec","110.7"
"2025-01-16","2025Jan","111.2"
"2025-02-15","2025Feb","110.8"
"2025-03-16","2025Mar","111.1"
"2025-04-15","2025Apr","111.5"
